company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
"DXC is the worlds leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology is a $25 billion company with a 60-year legacy of delivering results for thousands of clients in more than 70 countries. Our technology independence, global talent and extensive partner network combine to deliver powerful next-generation IT services and solutions.","RoleNetwork Manager / Administrator,",Not Disclosed,5 - 10 years,Bangalore/Bengaluru,"Job description       Essential Job Functions     Assists in generating conceptual, logical and physical network architectures, documents, testing analyses, test plans and risk assessments to ensure sound architecture which meet client needs.   Assists in leading teams that analyze, design, troubleshoot and implement network architecture in order to best meet client requirements; leverages resources from different teams to ensure that customer needs are met.   Assists in troubleshooting the most complex data or voice network and hardware problems; researches and analyzes significant, complex network problems that require evaluation of intangibles, such as downstream effects on client satisfaction; assesses and evaluates current and future systems.   Assists in determining methods and procedures to be implemented and used on moderately complex new technologies to enhance performance. Determines approach for customer, based on assessment of customer needs.   Researches technological advancements to ensure that voice and data networking solutions are continuously improved, supported and aligned with industry and company standards.   Evaluates cost analyses and vendor comparisons for large scale projects to ensure cost-effective and efficient operations, and measures feasibility of various approaches.   Recommends moderately complex investment decisions to management and customers based on results of independent assessment of current and future data or voice network performance, stability, and network management issues.   Leads major proposal efforts and creates strategies to win business in new markets or current accounts.     Basic Qualifications     Bachelors degree or equivalent combination of education and experience   Masters degree in computer science, management information systems or related field preferred   Nine or more years of experience in networks, LAN/WAN or management information systems   Experience working with computer systems   Experience working with network systems, data or voice   Experience working with networking principles, data or voice   Experience working with network software and hardware, data or voice   Experience working with proprietary software and hardware     Other Qualifications     Project management skills   Analytical and creative problem solving skills for design, creation and testing of new databases   Skilled in time, priority and task management   Interpersonal skills to interact with customers and team members   Communication skills to interact with team members and support personnel   Good presentation skills   Ability to work independently and as part of a team   Leadership ability to effectively lead a team     Work Environment     Office environment   RoleNetwork Manager / Administrator,Industry TypeIT Services & Consulting,Functional AreaEngineering - Hardware & Networks,Employment TypeFull Time, PermanentRole CategoryIT NetworkEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceInterpersonal skillsNetworkingWANAnalyticalProject managementLANHardwareManagementDownstream","['Computer science', 'Interpersonal skills', 'Networking', 'WAN', 'Analytical', 'Project management', 'LAN', 'Hardware', 'Management', 'Downstream']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Hardware & Networks,","Employment TypeFull Time, Permanent",Role CategoryIT Network
"Headquartered in New Delhi, FutureSoft is a software consulting and technology services company specializing in industry-specific solutions, strategic outsourcing and integration services. Clients gain competitive advantage by leveraging our product development, delivery capabilities to achieve their product milestones with world-class quality and reduced costs.","RoleTechnical Architect,",Not Disclosed,7 - 10 years,Bangalore/Bengaluru,"Job description  Need somebody who has ""been there done it"" when it comes to setting up VPCs, Firewalls, routing logic, firewall tags, Load balancers, etc. in GCP at least a couple of large GCP customers    Cloud Armor, Interconnect, Cloud Router, Cloud VPN HA   RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsArchitectNetworkingGCPVPNCloudRoutingFirewall","['Architect', 'Networking', 'GCP', 'VPN', 'Cloud', 'Routing', 'Firewall']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Menorah Personnel Management India Private Limited works with a vision to provide the best HR services to it's business clients with utmost care and be the first of their choice.

Menorah serves the client companies identifying the finest talents and connecting quality candidates with quality employers. It drives innovation to redefine the working world of the Human Resources.

Menorah is based in Chennai, India and is one of the most trusted services as it is handled by real HRs. It has bright experienced professionals, highly dedicated and energy packed to work towards achieving excellence adhering to the delivery standards.

Menorah provides solutions in Recruitment, Executive staffing, HR system set-up, Payroll, Compliance audit & advice and Training & Development.","RoleTechnical Architect,",Not Disclosed,5 - 10 years,Bengaluru,"Job description  Job Description :     Roles and Responsibilities:     Packet Core, IMS Solution realization on virtualized environment.   Create High level design and low level system design for the Packet Core, IMS and VOLTE Integration.   Development of network integration adapters, APIs and device descriptors for the VNF integration of Virtualized environment.   Network integration and Packet core solution realization.     Skill sets:    Strong Experience in Wireless domain (2G.3G,4G, 5G NGC) IMS, VOIP and VOLTE.   Hands on experience on any of the Packet core NE's such as 5G Core, MME, SGSN, S/P - GW, PCRF, HSS, SBC, MGCF.   Good domain knowledge in the technologies  -  Software Defined Networking (SDN) and Network Function Virtualization ETSI NFV.   Architecture, Openstack, ODL, ONOS.   Network design experience; HLD and LLD.   Good understanding of protocols like 3G, LTE, SIP, Megaco, MGCP, RTP, SDP,DIAMETER,CAP/CAMEL(SS7 Varient), MAP, FTP, DNS, DHCP, TCP, UDP, and IP.   Understanding of test tools (Inet Spectra, Ixia breaking point, Wireshark, etc) and Test Management center (HP - QC).   Good understanding of End to End IMS, 3G/4G and VOLTE call flows.   Good Understanding of Rich Communication Suite like Instant messaging, unified Presence, testing.      RoleTechnical Architect,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsWirelessTCPNetwork designSS7VOIPDNSSystem designSGSNSIPIMS","['Wireless', 'TCP', 'Network design', 'SS7', 'VOIP', 'DNS', 'System design', 'SGSN', 'SIP', 'IMS']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Menorah Personnel Management India Private Limited works with a vision to provide the best HR services to it's business clients with utmost care and be the first of their choice.

Menorah serves the client companies identifying the finest talents and connecting quality candidates with quality employers. It drives innovation to redefine the working world of the Human Resources.

Menorah is based in Chennai, India and is one of the most trusted services as it is handled by real HRs. It has bright experienced professionals, highly dedicated and energy packed to work towards achieving excellence adhering to the delivery standards.

Menorah provides solutions in Recruitment, Executive staffing, HR system set-up, Payroll, Compliance audit & advice and Training & Development.","RoleBack End Developer,",Not Disclosed,5 - 10 years,Bengaluru,"Job description  Job Description :   Good domain knowledge and working experience IP Core, Transport, Optical, Mobile backhaul area(Mandatory).   Good domain knowledge of Software Defined Networking (SDN) and Network Function Virtualization(NFV) technologies and standards (mandatory).   Good understanding Mobile (4G, 3G, 2G) networks technology and working experience in this domainGood expertise on DATACOM and IP - MPLS domains.   Good expertise on Linux based operating system Familiarity with networking protocols (TCP/IP, Ethernet, 802.1Q, GRE, VXLAN, L2VPN, MPL.   Integration experience of multi - vendor open products and NFVI building.   Good knowledge on Overflow protocol, SDN controllers desirable.   Good knowledge on open stack, ETSI NFV and VIM and MANO architecture desirable.   Good understanding of networking device architectures routers, switches, virtual switches, load balancer, NAT, firewall, etc. RoleBack End Developer,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsNATNetworking protocolsManaged servicesLinux3GEthernetsoftware defined networkingVirtualizationMPLSFirewall","['NAT', 'Networking protocols', 'Managed services', 'Linux', '3G', 'Ethernet', 'software defined networking', 'Virtualization', 'MPLS', 'Firewall']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Microland is “Making digital happen” – allowing technology to do more and intrude less. Our solutions for Cloud and Datacenter, Networks, Digital Workplace, Cybersecurity, and Industrial IoT make it easier for enterprises to adopt NextGen Digital infrastructure. Microlanders throughout the world ensure this embrace of digital brilliance is predictable, reliable, and stable.","RoleTechnical Architect,",Not Disclosed,12 - 15 years,Bangalore/Bengaluru,"Job description 1. Evaluate offerings internally and analyse gaps to do minor enhancements  2. Conduct knowledge transfer sessions with the new joiners  3. Assist in sales to demonstrate the competencies in respective technologies ;  4. Ensure error free launch of new services and integrated experience via field-to-floor alignment  5. Write blogs/articles and case studies about Microland  6. Collaborate in creating service videos/service offering description  7. Contribute in handling portions of projects. Also provide complete documentation related to project delivery for internal/external stakeholders RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsArchitectSalesNetworkingProject delivery","['Architect', 'Sales', 'Networking', 'Project delivery']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Leading Client,"RoleTechnical Architect,",Not Disclosed,10 - 15 years,Noida,"Job descriptionPosition Overview :Cloud architecture. This is an exciting opportunity for an experienced well- rounded architect to be an integral part of an enterprise-scale cloud platform. The position requires knowledge of cloud-native technologies as well as knowledge of infrastructure-related technologies like DNS, Automation and Orchestration (Continuous Integration/Continuous Delivery (CI/CD)).You will join Company Central IT organization reporting to the Vice President of Cloud Architecture. This team is responsible for cloud platform, which enables the safe and secure adoption of public cloud.The location for this role is flexible and can be remote.Essential Job Functions and Responsibilities :- Lead teams on cloud network and security transformation projects for medium and large enterprise clients- Perform Network and Network Security assessments of client environment, identify gaps and provide recommendations to address the gaps based on industry practices, standards, emerging technologies and trends- Develop roadmaps and business case- Prepare executive and detailed presentations to the client leaders and other stakeholders- Develop Network and Network Security strategies for the client environment- Identify opportunities and bundle them into multiple projects in consultation with the clients- Develop Network and Network Security Architecture with inputs from key business, Infrastructure and Security stakeholders- Lead the development of network and network security detailed designs in the following areas: software defined networking, network segmentation, network access control, network security and cloud networking components- Lead the Implementation of network infrastructures solutions (Engineering, configuration, testing, deployment and hyper care support) and manage transition to the Operations team- Establish and maintain relationship with key client stakeholders- Lead Project Management activities including planning, scheduling, RAID management, vendor management and financial management- Engage in Pre-Sales activities including client presentation on Company offerings, solutions, prepare response to RFP- s, manage internal processes for Opportunity pursuit, develop SoWs in consultation with client, internal teams and drive the pursuit to closure- Conduct research and design cloud capabilities, including cloud landing zones, account/governance models, IAM, network, and infrastructure- Define roadmaps and implement scalable, resilient, secure, and governed cloud architectures- Create and review architecture and solution design artifacts, maintaining documentation of cloud systems and network resources- Develop and coordinate cloud architecture across diverse areas including application development, identity and access management network, data management, and security- Provide leadership and coaching to teams of cloud engineers/architects delivering highly complex, security transformational projects multi-vendor solutionsAdditional Information :Required Qualifications :- Minimum 10 years of experience in network and network security infrastructure solutions engineering, implementation, integrations and operations of enterprise and carrier-class networks. Hands on experience in building, architecting, designing, and implementing highly distributed, reliable and secure global solutions & systems- Minimum 10 years of experience of technical experience and strong working knowledge of IP Internetworking, LAN Switching, WAN and network security are expected- Minimum 4+ years of experience working with cloud-based network infrastructures - AWS / Azure / GCP etc. - and cloud delivered Security- Strong technical experience in the following areas:- Experience with the following technologies, preferably SD-WAN, SD LAN, NFV, Wireless, Cloud networking, Network Access Control, SASE, Next Generation Firewalls, Network Visibility- Experience with network segmentation, management, automation and orchestration tools (i.e. Cisco DNA center, Cisco Tetration, Illumio and others)- Experience presenting solution ideas to executive and architect level audiences- Any previous experience in 5G, IOT, OT Network and OT Security and Edge Computing will be highly desirable- Bachelor's Degree or equivalent in a technology related field (e.g Computer Science, Engineering, etc.) required.- Strong skills in automation with knowledge of even-driven/reactive programming, networking, virtualization, cloud n-tier architectures, and cloud native services.- Knowledge of cloud IAM and how to configure least-privilege.- Knowledge of cloud networking and how to securely interconnect multiple cloud accounts, on-prem servers, etc.- Experience with cloud native architectures, landing zone architectures, cloud networking, infrastructure as code tooling & best practices, delivery pipelines, secrets management, FinOps, and observability- Excellent interpersonal and communication skillswith the ability to lead cross-team collaboration and partnerships across a variety of internal and external constituencies.- AWS certificationRequired Qualification :- Graduation - Bachelor of Engineering - Bachelor of Technology (B.E./B.Tech.)RoleTechnical Architect,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersKey SkillsAzureAWSCloud ArchitectSDWANProject ManagementNetwork SecurityGoogle Cloud PlatformDNSNetwork ArchitectureIT AutomationSkills highlighted with ‘‘ are preferred keyskills","['Azure', 'AWS', 'Cloud Architect', 'SDWAN', 'Project Management', 'Network Security', 'Google Cloud Platform', 'DNS', 'Network Architecture', 'IT Automation']",['UG :B.Tech/B.E. in Computers'],"Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
Western India Pharmaceutical,"RoleTechnical Architect,",Not Disclosed,8 - 15 years,Bangalore/Bengaluru,"Job description    Deep expertise, understanding and knowledge of Infrastructure Network and Security SD WAN, Routing and Switching, Firewalls, Load Balancers, Cloud Networking and Cyber Security.  At least 2 end-to-end implementations of Cisco Routers and Switches and firewalls.  Cisco ISE and Network segmentation knowledge required along with VMware Network Function Virtualization (NFV).   Ability to work in a virtual environment in a global organization and to effectively prioritize and execute tasks in a high-pressure environment.  Ability to work autonomously in a fast-paced complex environment with a self-motivated work ethic; utilize sound judgment with an ability to manage multiple priorities with a sense of urgency.  Proficient English language skills   Willingness to global travel  Able to be aware of all relevant SOPs as per Company policy as they are related to the position covered by this Job Description   Able to comply with the company s safety and quality policy at all times    RoleTechnical Architect,Industry TypePharmaceutical & Life Sciences,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsComputer scienceVMwareCcieProduction supportWANPharmaHealthcareBusiness solutionsProject deliveryVirtualization","['Computer science', 'VMware', 'Ccie', 'Production support', 'WAN', 'Pharma', 'Healthcare', 'Business solutions', 'Project delivery', 'Virtualization']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypePharmaceutical & Life Sciences,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our compute, cloud, mobility, networking and security offerings form a digital foundation that powers the apps, services and experiences that are transforming the world.Since our founding over two decades ago, our 24,000+ employee community and ecosystem of 75,000 partners have been behind the technology innovations transforming entire industries from banking, healthcare, and government to retail, telecommunications, manufacturing, and transportation.","RoleTechnical Architect,",Not Disclosed,8 - 14 years,Bangalore/Bengaluru,"Job description   What is the primary need, technical challenge, and/or problem you will be responsible for   This opportunity will provide you with a hands-on architect level leadership role to deliver consistent platform capabilities like Policy, Life cycle and Infrastructure management of NSX-T networking and security on multiple public clouds with a keen focus on VMware s Hyperscaler partner solutions (ACVS, GCVE, AVS etc). These features abstract public clouds internal networks, connects hosts, provides logical networks to virtual machines, manage the security aspects of the SDDC including the management and compute gateway firewalls distributed firewall which enables micro-segmentation for an enhanced security posture.     This unique opportunity is at the intersection of NSX-T and public cloud networking and provides excellent scope for you to make an impact with your architecture and design leadership. You will work with and mentor a talented team of engineers working across a vertical stack comprising distributed management components implementing network policies and life cycle management and system agents enforcing these on each of the transport nodes. This team works in an agile fashion with quarterly deliverables in a fast-paced organization.      Success in the Role:   What are the performance goals over the first 6-12 months you will work toward completing  Quickly build context on NSX-T, VMC on AWS, ACVS, GCVE and AVS and active deliverables in these programs and gain the respect of a highly technical team with breadth and depth of your technical knowledge.   Lead and drive ongoing Hyperscaler projects from a technical standpoint. Bootstrap and own Partner and end customer focussed initiatives and drive Architecture closure.   Guide team towards design, implementation across multiple projects.     What type of work will you be doingWhat assignments, requirements, or skills will you be performing on a regular basis      As an Engineering architect, you will:    Lead architecture, design, implementation and deployment of feature roadmap to meet customer requirements.   Continuously collaborate with respective application offerings to guide them towards an opinionated architecture.   Participate in daily stand-ups and help facilitate technical architectural decisions.  Drive customer defect triages and ensure time bound resolution in close collaboration with Escalation and Support teams.  Review and signoff design, code, test plans with keen attention to detail and making critical assessment of different features, their integration touchpoints and potential 2nd order impact on customers.   Be organized and bring clarity where there is uncertainty, managing risk and continuously deliver value. Help ensure engineering teams have the technical direction needed to be successful in building out new features and enhancements.   Work closely and engage with VMware executives, Product Management and other Engineering teams to obtain prompt resolution to issues likely to impact product release schedules and product quality.   Demonstrate energy and passion with extreme focus on quality and customer success with excellent architecture with built in operational capabilities.   Leverage your software development experience in networking/cloud and best practices to ensure the team is highly energized productive.  Challenge status-quo and be the torch bearer for driving innovation in the team      The technical experience in your background which may help your success in this new role include:     Bachelors degree in Computer Science or equivalent with 16+ years of hands-on software development experience in Networking domain, Distributed systems, Network Virtualization. 4+ years of experience in providing hands-on technical leadership to engineering teams and delivering one or more large-scale product(s) working with cross functional teams.   Demonstrable track record of architecting, designing reusable, high-performing and scalable systems along with solid knowledge of modern software engineering principles and frameworks.   Should be conversant in more than one of the following technologies: Java, Python, C++, REST APIs. Ideal candidate will have a solid systems background with either prior experience or passion to scale up and work across the application stack.  Prior experience in Public/Hybrid cloud networking in AWS/GCP/Azure and Network Policy management will be a major plus. Excellent verbal written communication skills and executive presence along with a passion for collaborative development with an absolute focus on quality and operational efficiency     What is the leadership like for this role   You will be reporting to Director of Engineering who will work with you to set strategy, provide guidance, and remove impediments. He will expect you to be self-driven, creative, and energized to technically drive the team s mission. You are also expected to operate with a high degree of end-2-end ownership - the ability to determine what needs to be done and making it happen working closely with your manager and the rest of your team mates.      Where is this role located   Flexible: The role is considered flexible and will be a mix of working from a local VMware office  and remote depending on your preferences and the arrangements determined with your future manager. You will be expected to live within a reasonable non-daily commute of the office.  RoleTechnical Architect,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsProduct managementVMwareC++VPNAgileHTMLPurchase ManagerVirtualizationPythonFirewall","['Product management', 'VMware', 'C++', 'VPN', 'Agile', 'HTML', 'Purchase Manager', 'Virtualization', 'Python', 'Firewall']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"VARITE is a global IT company providing software consulting and staffing services to Fortune 1000 Companies in USA, CANADA and INDIA. VARITE is currently a primary and direct vendors to the leading corporations in the areas of Networking, Infrastructure Application Software, Semiconductor, EAI, Portal technologies, ERP, Wireless Service Providers, Lending - Mortgage and Financial Services.","RoleTechnical Architect,",Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Job description    Skills Required:       LTE, FDD, TDD, RAN, Radio, rollout experience, familiar with Ericsson/Huawei products will be good to go, good experience on 4G, knowledge on 5G can also be considered.       LTE       Good understanding of LTE with hands on experience on RAN products, Radio parameters, key performance Indicators and Features      Minimum 16 years of experience with at least 6 years of LTE experience: both FDD and TDD      Process oriented, should have handled Big Rollout / Optimization Project Good Leadership skillset      Well versed on Ericsson system/parameters/KPIs, features and tools      Added value if has worked on Huawei system and good understanding on Huawei products, Parameters. KPIs and features      Good understanding of basic drive test and on- field parameter tuning for LTE      LTE Layer management and understanding the different events and trigger mechanism      Hands on experience on Radio performance reporting tools e.g OSS, ENM, MYCOM or similar tools in other vendors/operators       Automations       Added skill if available for Python language      Added if he has driven any automation project to improve efficiency      Worked on automations to improve WoW      RoleTechnical Architect,Industry TypeManagement Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsTelecomBasicAutomationNetworkingTDDRadioManagementReporting toolsSenior Solution ArchitectPython","['Telecom', 'Basic', 'Automation', 'Networking', 'TDD', 'Radio', 'Management', 'Reporting tools', 'Senior Solution Architect', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeManagement Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 10,000 cities around the world.We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and lets move the world forward, together.","RoleTechnical Lead,",Not Disclosed,3 - 7 years,Bangalore/Bengaluru,"Job description **About the Role**Software engineers at Uber have a deep impact across a wide variety of business and technology decisions spanning multiple projects and locations. They are pragmatic technologists able to craft scalable systems while delivering efficient code. They are not only collaborative role models, but also empathic thought leaders within a larger group. They are humble teachers, technically mentoring a team of hardworking engineers while also executing on delivering exciting projects!We are looking for a strong Senior Engineer as part of the Network Platform team who has a passion for architecting, building and scaling highly-available, mission-critical systems that support millions of users daily.   **What Youll Do  You will design, code, test, and launch new services, and features for Infrastructure at the global trip scale Your primary focus will be to drive Multi-Region, Multi-Zone programs across Uber for increased reliability for all backend services and flawless end-user experience.    You will build and deliver these cutting edge features through sophisticated experiments, collaborating with Compute, Foundations, Deployment, Cloud, SRE, Storage, and Product teams, to help build software on reliable infrastructure services.  *What Youll Need*You have a proven record of building and productionizing highly reliable infrastructure at scale.    7 years of relevant engineering experience, specifically working on backend services networking stack or building infrastructure platform-as-a-service services Experience with Go, Java, or C (bonus points for more than one).    Design/architect, develop, and/or test software applications using Ubers technology stack. You can collaborate well with several infra/product engineering teams to articulate requirements and system design. Excellent written and verbal communication skills, including the ability to write detailed technical documents. Ability to lead and guide excellent engineering teams. Undergraduate degree in computer science or equivalent.  *Preferred Qualifications*  Full-stack infrastructure knowledge Good understanding of computer architecture, networking and CS fundamentals. Proficiency in Linux. Good knowledge of cloud, on-prem, traffic routing, service architecture in multi-region setup. Passionate about helping teams grow by inspiring and mentoring engineers. Ability to assess new technologies and make pragmatic choices that help guide us towards a long-term vision**About the Team**The Network platform team is responsible for ensuring all traffic from mobile, web devices are able to reach Uber services and communicate among the service mesh in the most expedient highly available manner. Also responsible for running Uber services in a multi-zone, multi-region setup for highly reliable systems.RoleTechnical Lead,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsComputer scienceBackendProduct engineeringDesign ArchitectLinuxComputer architectureSystem designApplication softwareinfrastructure servicesTechnical documentation","['Computer science', 'Backend', 'Product engineering', 'Design Architect', 'Linux', 'Computer architecture', 'System design', 'Application software', 'infrastructure services', 'Technical documentation']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeInternet,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
